method,query_entries,source_query_cases,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10,result_dir,checkpoint
Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,14,33052,0.0479720360170376,0.1468166003829958,0.2130479372919742,0.0479720360170376,0.0384122930317563,0.0325362927302571,0.0416918794626648,0.1298257291540602,0.1952680624470531,0.0416918794626648,0.033789180684981,0.0296805034491102,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Learned gate v3 seqp2_ov005,14,33052,0.0477292730811011,0.1452681502891805,0.2117465169043398,0.0477292730811011,0.0377153324894603,0.031967939974054,0.0412077937794989,0.1297047077332687,0.1936342732663681,0.0412077937794989,0.03366210819315,0.0293688732905721,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_seqp2_ov005_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov005_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Learned gate v3 offmp_l004_widepos_balanced_length_b256_lr0,14,33052,0.0521655947230686,0.1514222440690695,0.2091156037333771,0.0521655947230686,0.0391851946864724,0.0317138276506269,0.04048166525475,0.1274355560934285,0.1917584412441002,0.04048166525475,0.0333958610674087,0.0293204647222555,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_offmp_l004_widepos_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_154959_long/gate_v3_sequentialgate_offmp_l004_widepos_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Learned gate v3 seq_l007,14,33052,0.0456194070943632,0.1342469544825699,0.1950784182542233,0.0456194070943632,0.0345453312809399,0.029029629929373,0.0383335350357013,0.1220198475130098,0.1824397918431562,0.0383335350357013,0.0317620718867238,0.0274809391262251,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_seq_l007_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l007_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Contrastive sequential,14,33052,0.0406358914439327,0.1238095818088822,0.1870757790910062,0.0406358914439327,0.031000692051886,0.0269761089669727,0.0344608495703739,0.1094941304610916,0.1665254750090766,0.0344608495703739,0.0277925692847633,0.0241831054096573,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential,
Adaptive tangent sequential,14,33052,0.0406052286267497,0.1235346889432326,0.1869269211269,0.0406052286267497,0.0309292179878408,0.0268738588800076,0.034430594215176,0.1092520876195086,0.1667675178506595,0.034430594215176,0.0277441607164467,0.024201258622776,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential,
Learned gate v2 add_l009,14,33052,0.0436694704473002,0.1208378685385714,0.1790030771553327,0.0436694704473002,0.0311963438313978,0.0269220076902521,0.034914679898342,0.1087982572915406,0.1644681108556214,0.034914679898342,0.0282645528258501,0.0249243616120051,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v2_additivegate_add_l009_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l009_balanced_length_b256_lr0.0003_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Contrastive sum,14,33052,0.0391165430965526,0.1203871699842344,0.170739441538459,0.0391165430965526,0.0296669903291397,0.0247404346071612,0.0345213602807696,0.1090100447779257,0.1664952196538787,0.0345213602807696,0.0276594457218927,0.024216386300375,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum,
Learned gate v2 add_l001,14,33052,0.0380403330228795,0.110832996624747,0.1626469843996689,0.0380403330228795,0.0286297471319113,0.0237822443840554,0.032585017548106,0.1027471862519666,0.1561478881762072,0.032585017548106,0.0265157932954132,0.0233752874258742,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v2_additivegate_add_l001_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l001_balanced_length_b256_lr0.0003_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Learned gate v1 ov015,14,33052,0.0346363345822247,0.1109263649628387,0.1601262148628818,0.0346363345822247,0.0285540957479999,0.0237009805463546,0.0323127193513251,0.1012949292024688,0.1552099721650732,0.0323127193513251,0.0262737504538302,0.0232875468958003,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v1_ov015_balanced_length_b256_lr0.0003_src0.02_scale0.1_long,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov015_balanced_length_b256_lr0.0003_src0.02_scale0.1_long/checkpoints/best_val_official_like_at10.pt
Direct sequential,14,33052,0.0280702691117029,0.0732718277811792,0.1120602207326044,0.0280702691117029,0.0179070045179915,0.0152957059322563,0.0260196054701682,0.0827483964661745,0.1263463633063052,0.0260196054701682,0.0205736415345516,0.0178627617088223,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/02_direct_sequential,
Direct sum,14,33052,0.0239667092673861,0.0718274033877898,0.1084242092702599,0.0239667092673861,0.0175681307479561,0.0147120343871258,0.0257170519181895,0.0814776715478639,0.1247730848360159,0.0257170519181895,0.0202650369115333,0.0176812295776351,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/01_direct_sum,
