query_id,query,metric,best_method,best_score,second_method,second_score,absolute_margin
0,+Smiling,Recall@1,Direct sum,0.0679063936481404,Direct sequential,0.0679063936481404,0.0
0,+Smiling,Recall@5,Adaptive tangent sequential,0.1916005014625992,Contrastive sum,0.1913915587129126,0.00020894274968658033
0,+Smiling,Recall@10,Learned gate,0.2649394066025909,Adaptive tangent sequential,0.2620142081069787,0.0029251984956122357
0,+Smiling,Precision@1,Direct sum,0.0679063936481404,Direct sequential,0.0679063936481404,0.0
0,+Smiling,Precision@5,Adaptive tangent sequential,0.051065608023401,Contrastive sum,0.0509820309235264,8.357709987460299e-05
0,+Smiling,Precision@10,Learned gate,0.0430213121604673,Adaptive tangent sequential,0.0411826159632253,0.0018386961972420013
1,+Eyeglasses,Recall@1,Learned gate,0.1020036429872495,Contrastive sum,0.0569216757741347,0.0450819672131148
1,+Eyeglasses,Recall@5,Learned gate,0.2736794171220401,Contrastive sum,0.1671220400728597,0.10655737704918039
1,+Eyeglasses,Recall@10,Learned gate,0.377959927140255,Contrastive sum,0.2518214936247723,0.1261384335154827
1,+Eyeglasses,Precision@1,Learned gate,0.1020036429872495,Contrastive sum,0.0569216757741347,0.0450819672131148
1,+Eyeglasses,Precision@5,Learned gate,0.0772313296903459,Contrastive sum,0.0410746812386159,0.03615664845173001
1,+Eyeglasses,Precision@10,Learned gate,0.0642531876138428,Contrastive sum,0.0347905282331512,0.0294626593806916
2,-Heavy_Makeup,Recall@1,Learned gate,0.0415953021776364,Contrastive sum,0.0288720332762417,0.012723268901394698
2,-Heavy_Makeup,Recall@5,Learned gate,0.1242965500367017,Contrastive sum,0.1074137509175434,0.016882799119158298
2,-Heavy_Makeup,Recall@10,Learned gate,0.1977000244678248,Contrastive sum,0.1685833129434793,0.0291167115243455
2,-Heavy_Makeup,Precision@1,Learned gate,0.0415953021776364,Contrastive sum,0.0288720332762417,0.012723268901394698
2,-Heavy_Makeup,Precision@5,Learned gate,0.0301443601663814,Contrastive sum,0.0240274039637878,0.006116956202593601
2,-Heavy_Makeup,Precision@10,Learned gate,0.0266699290433078,Contrastive sum,0.0212870075850256,0.005382921458282199
3,+Male,Recall@1,Contrastive sequential,0.0438871473354232,Contrastive sum,0.0438871473354232,0.0
3,+Male,Recall@5,Adaptive tangent sequential,0.1529780564263322,Contrastive sum,0.1517241379310344,0.0012539184952977955
3,+Male,Recall@10,Adaptive tangent sequential,0.2394984326018809,Contrastive sum,0.2376175548589341,0.0018808777429467904
3,+Male,Precision@1,Contrastive sequential,0.0438871473354232,Contrastive sum,0.0438871473354232,0.0
3,+Male,Precision@5,Adaptive tangent sequential,0.0423824451410659,Contrastive sum,0.0418808777429468,0.0005015673981191016
3,+Male,Precision@10,Adaptive tangent sequential,0.0392476489028214,Contrastive sum,0.0390595611285268,0.00018808777429459717
