beta,evaluation_id,family,macro_Precision@10,macro_Recall@10,method,micro_Recall@10
1.5,mw85_012,generic,0.0487211528445904,0.3049983318858148,model_plus_generic_delta_beta_1p50,0.2511799588527169
1.25,mw85_007,generic,0.0495565825837803,0.304951913618326,model_plus_generic_delta_beta_1p25,0.2487897857920852
1.5,mw85_001,generic,0.048561482449655,0.3028910752416432,model_plus_generic_delta_beta_1p50,0.245794505627496
1.5,mw85_011,generic,0.0486028856311155,0.3025031009959755,model_plus_generic_delta_beta_1p50,0.2473072733873895
1.5,mw70_011,generic,0.0488106356017511,0.3020225617984414,model_plus_generic_delta_beta_1p50,0.2465811448626406
1.25,mw70_007,tuned,0.049197915900336,0.3011966293011123,model_plus_tuned_delta_beta_1p25,0.2585925208761951
1.5,mw85_003,generic,0.0485468735362473,0.2995604401154109,model_plus_generic_delta_beta_1p50,0.2434345879220622
1.5,mw70_005,generic,0.0481029047400802,0.2985959627556894,model_plus_generic_delta_beta_1p50,0.2429505022388962
1.5,mw70_009,generic,0.0475734153917166,0.2980632435583055,model_plus_generic_delta_beta_1p50,0.2457339949171003
1.5,mw70_003,generic,0.0472835397281324,0.2967688048615701,model_plus_generic_delta_beta_1p50,0.2435253539876558
1.5,mw85_009,generic,0.0479146591351071,0.296727016747116,model_plus_generic_delta_beta_1p50,0.246490378797047
1.5,mw70_001,generic,0.0475278235261519,0.2965780014280334,model_plus_generic_delta_beta_1p50,0.2453104199443301
1.5,mw70_012,generic,0.0470364196912128,0.2950854376479466,model_plus_generic_delta_beta_1p50,0.2458550163378918
1.5,mw85_005,generic,0.0468930003240475,0.2948479898732109,model_plus_generic_delta_beta_1p50,0.2402275202710879
2.0,mw85_002,generic,0.0450687238673136,0.2843195441454364,model_plus_generic_delta_beta_2p00,0.2303945298317802
2.0,mw70_010,generic,0.044251333014469,0.2814258230067487,model_plus_generic_delta_beta_2p00,0.2330872564443906
2.0,mw85_006,generic,0.0439662809013218,0.280770333411213,model_plus_generic_delta_beta_2p00,0.2254023962241316
1.5,mw85_004,generic,0.0436458889967043,0.2804662656541515,model_plus_generic_delta_beta_1p50,0.2354774295050224
2.0,mw85_010,generic,0.0442554988203167,0.2802399960903406,model_plus_generic_delta_beta_2p00,0.2293961031102505
2.0,mw70_006,generic,0.0442007260097219,0.2801820607102895,model_plus_generic_delta_beta_2p00,0.2298801887934164
2.0,mw70_002,generic,0.0441439474824959,0.279513202726576,model_plus_generic_delta_beta_2p00,0.2295473798862398
2.0,mw70_004,generic,0.0435086085935115,0.278508668127276,model_plus_generic_delta_beta_2p00,0.2334200653515672
2.0,mw85_008,generic,0.0440321807916243,0.2772706481885815,model_plus_generic_delta_beta_2p00,0.2296078905966356
2.0,mw70_008,generic,0.043256028760087,0.2768069942349953,model_plus_generic_delta_beta_2p00,0.2257654604865061
