query_id,query,Assignment baseline,Final best system,Strong CLIP baseline,improvement_vs_assignment,improvement_vs_strong_clip
0,+Smiling,0.2555369828666945,0.2699540325950689,0.2615963226076055,0.014417049728374376,0.00835770998746338
1,+Eyeglasses,0.1320582877959927,0.5541894353369763,0.2518214936247723,0.4221311475409836,0.302367941712204
2,-Heavy_Makeup,0.1438708098850012,0.2828480548079276,0.1685833129434793,0.13897724492292637,0.11426474186444827
3,+Male,0.0357366771159874,0.4200626959247649,0.2376175548589341,0.38432601880877754,0.18244514106583082
4,-Young,0.0556489262371615,0.2309990662931839,0.0696545284780578,0.1753501400560224,0.1613445378151261
5,+Blond_Hair,0.1439019930517462,0.3486926311940025,0.1938197110989211,0.20479063814225631,0.1548729200950814
6,+Mustache,0.2325581395348837,0.53156146179402,0.2524916943521594,0.2990033222591363,0.2790697674418606
7,-Young,0.0556489262371615,0.2309990662931839,0.0696545284780578,0.1753501400560224,0.1613445378151261
8,"+Eyeglasses, +Smiling",0.0784313725490196,0.5571895424836601,0.2712418300653594,0.47875816993464054,0.28594771241830075
9,"+Black_Hair, -Wavy_Hair",0.1710730948678071,0.3195956454121306,0.2002332814930015,0.14852255054432348,0.11936236391912908
10,"-Male, -Mustache",0.0,0.4074074074074074,0.074074074074074,0.4074074074074074,0.33333333333333337
11,"+Chubby, -Young",0.023972602739726,0.4332191780821918,0.0496575342465753,0.4092465753424658,0.3835616438356165
12,"-Smiling, +Eyeglasses, +Wearing_Hat",0.1012658227848101,0.7468354430379747,0.430379746835443,0.6455696202531646,0.31645569620253167
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.088235294117647,0.1470588235294117,0.088235294117647,0.05882352941176469,0.05882352941176469
