query_id,query,Assignment baseline,Final best system,Strong CLIP baseline
0,+Smiling,0.2555369828666945,0.2699540325950689,0.2615963226076055
1,+Eyeglasses,0.1320582877959927,0.5541894353369763,0.2518214936247723
2,-Heavy_Makeup,0.1438708098850012,0.2828480548079276,0.1685833129434793
3,+Male,0.0357366771159874,0.4200626959247649,0.2376175548589341
4,-Young,0.0556489262371615,0.2309990662931839,0.0696545284780578
5,+Blond_Hair,0.1439019930517462,0.3486926311940025,0.1938197110989211
6,+Mustache,0.2325581395348837,0.53156146179402,0.2524916943521594
7,-Young,0.0556489262371615,0.2309990662931839,0.0696545284780578
8,"+Eyeglasses, +Smiling",0.0784313725490196,0.5571895424836601,0.2712418300653594
9,"+Black_Hair, -Wavy_Hair",0.1710730948678071,0.3195956454121306,0.2002332814930015
10,"-Male, -Mustache",0.0,0.4074074074074074,0.074074074074074
11,"+Chubby, -Young",0.023972602739726,0.4332191780821918,0.0496575342465753
12,"-Smiling, +Eyeglasses, +Wearing_Hat",0.1012658227848101,0.7468354430379747,0.430379746835443
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.088235294117647,0.1470588235294117,0.088235294117647
