system,short,query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
Assignment baseline,Baseline,0,+Smiling,4786,0.06790639364814041,0.18575010447137486,0.2555369828666945,0.06790639364814041,0.04893439197659799,0.03972001671541933
Assignment baseline,Baseline,1,+Eyeglasses,2196,0.020947176684881604,0.0883424408014572,0.1320582877959927,0.020947176684881604,0.021129326047358857,0.017896174863388053
Assignment baseline,Baseline,2,-Heavy_Makeup,4087,0.028627355028138,0.09224369953511133,0.14387080988500123,0.028627355028138,0.021140200636163575,0.018032786885245938
Assignment baseline,Baseline,3,+Male,1595,0.00877742946708464,0.0225705329153605,0.035736677115987464,0.00877742946708464,0.005517241379310346,0.005078369905956109
Assignment baseline,Baseline,4,-Young,5355,0.008963585434173669,0.03137254901960784,0.05564892623716153,0.008963585434173669,0.007357609710550891,0.007301587301587334
Assignment baseline,Baseline,5,+Blond_Hair,5469,0.025964527335893217,0.09124154324373743,0.1439019930517462,0.025964527335893217,0.023624062899981875,0.021649296032181218
Assignment baseline,Baseline,6,+Mustache,301,0.07641196013289037,0.16279069767441862,0.23255813953488372,0.07641196013289037,0.04651162790697674,0.03621262458471757
Assignment baseline,Baseline,7,-Young,5355,0.008963585434173669,0.03137254901960784,0.05564892623716153,0.008963585434173669,0.007357609710550891,0.007301587301587334
Assignment baseline,Baseline,8,"+Eyeglasses, +Smiling",612,0.014705882352941176,0.05065359477124183,0.0784313725490196,0.014705882352941176,0.011111111111111115,0.008823529411764702
Assignment baseline,Baseline,9,"+Black_Hair, -Wavy_Hair",2572,0.028771384136858476,0.104199066874028,0.17107309486780714,0.028771384136858476,0.024261275272161834,0.02243390357698304
Assignment baseline,Baseline,10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0
Assignment baseline,Baseline,11,"+Chubby, -Young",584,0.003424657534246575,0.010273972602739725,0.023972602739726026,0.003424657534246575,0.002054794520547945,0.0025684931506849322
Assignment baseline,Baseline,12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.012658227848101266,0.0759493670886076,0.10126582278481013,0.012658227848101266,0.015189873417721518,0.010126582278481011
Assignment baseline,Baseline,13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.011764705882352941,0.008823529411764707
Learned gate only,No correction,0,+Smiling,4786,0.050982030923526954,0.16673631424989552,0.24676138737985792,0.050982030923526954,0.042498955286251264,0.037672377768490826
Learned gate only,No correction,1,+Eyeglasses,2196,0.07422586520947176,0.25136612021857924,0.36885245901639346,0.07422586520947176,0.06438979963570152,0.05701275045537292
Learned gate only,No correction,2,-Heavy_Makeup,4087,0.03694641546366528,0.12160508930756056,0.19084903352092,0.03694641546366528,0.028529483728896722,0.02500611695620245
Learned gate only,No correction,3,+Male,1595,0.007523510971786834,0.0219435736677116,0.03134796238244514,0.007523510971786834,0.0050156739811912255,0.004075235109717866
Learned gate only,No correction,4,-Young,5355,0.014565826330532213,0.05266106442577031,0.09355742296918768,0.014565826330532213,0.012810457516339918,0.012661064425770358
Learned gate only,No correction,5,+Blond_Hair,5469,0.03218138599378314,0.10769793380874017,0.17900895959041874,0.03218138599378314,0.0275370268787713,0.026074236606326223
Learned gate only,No correction,6,+Mustache,301,0.07308970099667775,0.2026578073089701,0.28903654485049834,0.07308970099667775,0.054485049833887016,0.045514950166112914
Learned gate only,No correction,7,-Young,5355,0.014565826330532213,0.05266106442577031,0.09355742296918768,0.014565826330532213,0.012810457516339918,0.012661064425770358
Learned gate only,No correction,8,"+Eyeglasses, +Smiling",612,0.013071895424836602,0.08006535947712418,0.15196078431372548,0.013071895424836602,0.017320261437908487,0.01830065359477122
Learned gate only,No correction,9,"+Black_Hair, -Wavy_Hair",2572,0.011275272161741835,0.05598755832037325,0.0890357698289269,0.011275272161741835,0.01360808709175737,0.012208398133748076
Learned gate only,No correction,10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0
Learned gate only,No correction,11,"+Chubby, -Young",584,0.005136986301369863,0.032534246575342464,0.059931506849315065,0.005136986301369863,0.006849315068493152,0.007020547945205482
Learned gate only,No correction,12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0,0.05063291139240506,0.17721518987341772,0.0,0.010126582278481013,0.017721518987341773
Learned gate only,No correction,13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.058823529411764705,0.11764705882352941,0.0,0.011764705882352941,0.011764705882352941
Generic sum only,Sum only,0,+Smiling,4786,0.06790639364814041,0.19139155871291266,0.2618052653572921,0.06790639364814041,0.05098203092352645,0.041119933138319416
Generic sum only,Sum only,1,+Eyeglasses,2196,0.05692167577413479,0.16757741347905283,0.2518214936247723,0.05692167577413479,0.04116575591985452,0.03474499089253194
Generic sum only,Sum only,2,-Heavy_Makeup,4087,0.029116711524345487,0.10765842916564718,0.1678492781991681,0.029116711524345487,0.02407633961340855,0.02121360411059451
Generic sum only,Sum only,3,+Male,1595,0.0438871473354232,0.15172413793103448,0.23824451410658307,0.0438871473354232,0.04188087774294683,0.038934169278997045
Generic sum only,Sum only,4,-Young,5355,0.011017740429505136,0.039775910364145656,0.06984126984126984,0.011017740429505136,0.009822595704948667,0.009449112978524795
Generic sum only,Sum only,5,+Blond_Hair,5469,0.03839824465167307,0.12616566099835436,0.19400255988297677,0.03839824465167307,0.03379045529347216,0.03015176449076572
Generic sum only,Sum only,6,+Mustache,301,0.09634551495016612,0.18272425249169436,0.25249169435215946,0.09634551495016612,0.049833887043189334,0.0395348837209302
Generic sum only,Sum only,7,-Young,5355,0.011017740429505136,0.039775910364145656,0.06984126984126984,0.011017740429505136,0.009822595704948667,0.009449112978524795
Generic sum only,Sum only,8,"+Eyeglasses, +Smiling",612,0.032679738562091505,0.0915032679738562,0.15522875816993464,0.032679738562091505,0.02026143790849672,0.018137254901960758
Generic sum only,Sum only,9,"+Black_Hair, -Wavy_Hair",2572,0.03732503888024884,0.1290824261275272,0.2025660964230171,0.03732503888024884,0.030248833592535145,0.02698289269051331
Generic sum only,Sum only,10,"-Male, -Mustache",27,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.014814814814814815,0.014814814814814815
Generic sum only,Sum only,11,"+Chubby, -Young",584,0.00684931506849315,0.018835616438356163,0.039383561643835614,0.00684931506849315,0.0037671232876712326,0.004280821917808221
Generic sum only,Sum only,12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.012658227848101266,0.11392405063291139,0.12658227848101267,0.012658227848101266,0.022784810126582275,0.012658227848101264
Generic sum only,Sum only,13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.017647058823529415,0.008823529411764707
Learned gate + corrective sum,With correction,0,+Smiling,4786,0.06623485165064773,0.18992895946510657,0.26995403259506895,0.06623485165064773,0.049853740075218936,0.04166318428750453
Learned gate + corrective sum,With correction,1,+Eyeglasses,2196,0.1489071038251366,0.3925318761384335,0.5541894353369763,0.1489071038251366,0.11539162112932505,0.10004553734061804
Learned gate + corrective sum,With correction,2,-Heavy_Makeup,4087,0.056520675311964766,0.1881575727917788,0.2828480548079276,0.056520675311964766,0.04389527770981134,0.038194274528993745
Learned gate + corrective sum,With correction,3,+Male,1595,0.10846394984326019,0.2921630094043887,0.4200626959247649,0.10846394984326019,0.08840125391849551,0.08062695924764848
Learned gate + corrective sum,With correction,4,-Young,5355,0.040149393090569564,0.1450980392156863,0.23099906629318395,0.040149393090569564,0.036713352007469384,0.03449112978524685
Learned gate + corrective sum,With correction,5,+Blond_Hair,5469,0.07259096727006766,0.23075516547814956,0.34869263119400257,0.07259096727006766,0.061364051929053504,0.05598829767782022
