method,query_id,query,sources,avg_filtered_candidates_in_pool,avg_official_valid_candidates_in_filtered_pool,filtered_pool_hit_rate,raw_pool_hit_rate,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
oracle_query_and_hamming,0,+Smiling,4786,6.380484747179273,6.380484747179273,0.9346009193480986,0.9346009193480986,0.9346009193480986,0.9346009193480986,0.9346009193480986,0.9346009193480986,0.6951943167572074,0.4872127037191784
oracle_query_and_hamming,1,+Eyeglasses,2196,14.70719489981785,14.70719489981785,0.9995446265938069,0.9995446265938069,0.9995446265938069,0.9995446265938069,0.9995446265938069,0.9995446265938069,0.9747723132969012,0.8142076502732246
oracle_query_and_hamming,2,-Heavy_Makeup,4087,6.438218742353805,6.438218742353805,0.9495962808906289,0.9495962808906289,0.9495962808906289,0.9495962808906289,0.9495962808906289,0.9495962808906289,0.7234646439931477,0.5047712258380214
oracle_query_and_hamming,3,+Male,1595,17.956112852664578,17.956112852664578,0.9862068965517241,0.9862068965517241,0.9862068965517241,0.9862068965517241,0.9862068965517241,0.9862068965517241,0.8544200626959239,0.6977429467084645
oracle_query_and_hamming,4,-Young,5355,7.512231559290383,7.512231559290383,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.7397572362278262,0.5218674136321186
oracle_query_and_hamming,5,+Blond_Hair,5469,10.658072773816054,10.658072773816054,0.985006399707442,0.985006399707442,0.985006399707442,0.985006399707442,0.985006399707442,0.985006399707442,0.8597915523861811,0.6720424209179013
oracle_query_and_hamming,6,+Mustache,301,5.086378737541528,5.086378737541528,1.0,1.0,1.0,1.0,1.0,1.0,0.8192691029900339,0.4983388704318942
oracle_query_and_hamming,7,-Young,5355,7.512231559290383,7.512231559290383,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.9563025210084034,0.7397572362278262,0.5218674136321186
oracle_query_and_hamming,8,"+Eyeglasses, +Smiling",612,9.145424836601308,9.145424836601308,1.0,1.0,1.0,1.0,1.0,1.0,0.9620915032679743,0.7372549019607836
oracle_query_and_hamming,9,"+Black_Hair, -Wavy_Hair",2572,9.211508553654744,9.211508553654744,0.9755054432348367,0.9755054432348367,0.9755054432348367,0.9755054432348367,0.9755054432348367,0.9755054432348367,0.8143079315707609,0.6232503888024896
oracle_query_and_hamming,10,"-Male, -Mustache",27,7.296296296296297,7.296296296296297,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.5740740740740741
oracle_query_and_hamming,11,"+Chubby, -Young",584,5.157534246575342,5.157534246575342,0.9982876712328768,0.9982876712328768,0.9982876712328768,0.9982876712328768,0.9982876712328768,0.9982876712328768,0.8089041095890425,0.5078767123287675
oracle_query_and_hamming,12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9721518987341768,0.649367088607595
oracle_query_and_hamming,13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,2.088235294117647,2.088235294117647,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.3882352941176471,0.2088235294117647
