query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,421.4162139573757,8.723162414038276,0.42578484859617993,0.08545758462181362,0.23861262014208107,0.32636857501044714,0.08545758462181362,0.06473046385290333,0.052737150020893304
1,+Eyeglasses,2196,454.52777777777777,10.128248755614832,0.5457176330256767,0.18579234972677597,0.465391621129326,0.6133879781420765,0.18579234972677597,0.14025500910746633,0.1225865209471755
2,-Heavy_Makeup,4087,193.96231954979203,8.647915615672613,0.28463833121542303,0.06141424027403964,0.19280645950574993,0.2931245412282848,0.06141424027403964,0.046195253241986506,0.040445314411548146
3,+Male,1595,498.87021943573666,9.626099557188985,0.4911597808513522,0.12225705329153605,0.34169278996865204,0.46394984326018807,0.12225705329153605,0.10570532915360484,0.09435736677115922
4,-Young,5355,371.45098039215685,8.638804706338407,0.40064258226493493,0.04668534080298786,0.16526610644257703,0.26629318394024276,0.04668534080298786,0.04197945845004629,0.0402240896358536
5,+Blond_Hair,5469,437.5408667032364,7.967955176105314,0.3612620398922624,0.07771073322362407,0.24958859023587493,0.37392576339367345,0.07771073322362407,0.06684951545072089,0.060285244103126724
6,+Mustache,301,429.2093023255814,8.789311516720591,0.40394401698809523,0.10963455149501661,0.32558139534883723,0.47840531561461797,0.10963455149501661,0.08903654485049824,0.07641196013289042
7,-Young,5355,371.45098039215685,8.638804706338407,0.40064258226493493,0.04668534080298786,0.16526610644257703,0.26629318394024276,0.04668534080298786,0.04197945845004629,0.0402240896358536
8,"+Eyeglasses, +Smiling",612,235.30065359477123,10.94244597394482,0.4616666039318041,0.17647058823529413,0.45751633986928103,0.6078431372549019,0.17647058823529413,0.14444444444444493,0.12222222222222245
9,"+Black_Hair, -Wavy_Hair",2572,307.9412908242613,7.775453625348271,0.37229650190699715,0.07698289269051321,0.23678071539657855,0.36275272161741834,0.07698289269051321,0.06041990668740279,0.05435458786936172
10,"-Male, -Mustache",27,484.0740740740741,12.303356682812726,0.4787321830237353,0.037037037037037035,0.18518518518518517,0.4074074074074074,0.037037037037037035,0.044444444444444446,0.044444444444444446
11,"+Chubby, -Young",584,426.2756849315069,9.813549694133131,0.48057096114713854,0.07191780821917808,0.2791095890410959,0.4075342465753425,0.07191780821917808,0.07054794520547945,0.05513698630136999
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,91.60759493670886,11.797703386862066,0.4942635203464122,0.21518987341772153,0.6455696202531646,0.7468354430379747,0.21518987341772153,0.23544303797468338,0.1784810126582278
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,59.3235294117647,8.8011374613818,0.2406053034698262,0.029411764705882353,0.11764705882352941,0.23529411764705882,0.029411764705882353,0.029411764705882353,0.026470588235294117
