query,A_cal_query_hardh2_accuracy,A_cal_query_hardh2_f1,A_cal_query_hardh2_precisionrecallmid,C_cal_hybrid_lh010_ls005_accuracy,C_cal_hybrid_lh015_ls005_accuracy,C_cal_hybrid_lh015_ls005_precisionrecallmid
"+Black_Hair, -Wavy_Hair",0.4300155520995334,0.3860808709175738,0.4090202177293934,0.380248833592535,0.3841368584758942,0.3818040435458787
+Blond_Hair,0.4302431888827939,0.4168952276467361,0.4291460961784604,0.379411226915341,0.3854452367891753,0.3898336076065094
"+Chubby, -Young",0.7054794520547946,0.4366438356164384,0.636986301369863,0.5205479452054794,0.5273972602739726,0.5051369863013698
+Eyeglasses,0.6725865209471766,0.6489071038251366,0.6657559198542805,0.6138433515482696,0.6252276867030966,0.6252276867030966
"+Eyeglasses, +Smiling",0.7009803921568627,0.5996732026143791,0.6029411764705882,0.6078431372549019,0.6225490196078431,0.6094771241830066
+Male,0.4990595611285266,0.477115987460815,0.5147335423197492,0.464576802507837,0.4746081504702194,0.4739811912225705
+Mustache,0.4983388704318937,0.4717607973421927,0.4784053156146179,0.4584717607973422,0.4551495016611295,0.4551495016611295
+Smiling,0.3727538654408692,0.3635603844546594,0.363769327204346,0.3221897200167154,0.332010029251985,0.3378604262432093
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.2058823529411764,0.1470588235294117,0.1470588235294117,0.2352941176470588,0.2647058823529412,0.2941176470588235
-Heavy_Makeup,0.3344751651578174,0.313922192317103,0.3197944702715928,0.3227306092488378,0.3278688524590163,0.3259114264741864
"-Male, -Mustache",0.2592592592592592,0.4074074074074074,0.3703703703703703,0.4074074074074074,0.3703703703703703,0.4074074074074074
"-Smiling, +Eyeglasses, +Wearing_Hat",0.8481012658227848,0.7974683544303798,0.7721518987341772,0.8607594936708861,0.8481012658227848,0.759493670886076
-Young,0.3322128851540616,0.3008403361344537,0.326984126984127,0.2782446311858076,0.2857142857142857,0.2741363211951447
