attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.873961865901947,0.48259252309799194,0.9398720860481262,0.6377314925193787,0.11803492903709412
Arched_Eyebrows,0.7965470552444458,0.5715221166610718,0.8498247265815735,0.6834272742271423,0.258418470621109
Attractive,0.8072683215141296,0.8134580254554749,0.8166860342025757,0.815068781375885,0.5200583934783936
Bags_Under_Eyes,0.753812849521637,0.44714441895484924,0.7903421521186829,0.5711529850959778,0.2074294090270996
Bald,0.9766950011253357,0.46912112832069397,0.9610705375671387,0.6304868459701538,0.02068757265806198
Bangs,0.9263603091239929,0.682046115398407,0.9331046342849731,0.7880631685256958,0.14672572910785675
Big_Lips,0.6641666889190674,0.28598394989967346,0.7963206171989441,0.4208332896232605,0.15321891009807587
Big_Nose,0.7805405855178833,0.5401018261909485,0.79425448179245,0.6429741382598877,0.24880455434322357
Black_Hair,0.8651532530784607,0.6205761432647705,0.9097490310668945,0.7378412485122681,0.20858711004257202
Blond_Hair,0.9185080528259277,0.6649070382118225,0.9479712247848511,0.7815998792648315,0.15382292866706848
Blurry,0.8893139362335205,0.28840336203575134,0.9127659797668457,0.43831416964530945,0.04731464385986328
Brown_Hair,0.7996677756309509,0.5566866397857666,0.8328812718391418,0.6673353314399719,0.24125434458255768
Bushy_Eyebrows,0.8662606477737427,0.518471360206604,0.8625926971435547,0.6476594805717468,0.14249761402606964
Chubby,0.8905219435691833,0.3477294445037842,0.9004934430122375,0.5017182230949402,0.06120702624320984
Double_Chin,0.8892636299133301,0.29711824655532837,0.9200000166893005,0.4491737484931946,0.04907635599374771
Eyeglasses,0.9932551383972168,0.9256986975669861,0.9819233417510986,0.9529824256896973,0.06961292773485184
Goatee,0.9285246729850769,0.507845938205719,0.9726775884628296,0.6672914624214172,0.07369004189968109
Gray_Hair,0.9506719708442688,0.4964769780635834,0.9472595453262329,0.6514936089515686,0.04867367818951607
Heavy_Makeup,0.9084914922714233,0.846028208732605,0.9357502460479736,0.888630211353302,0.3901444673538208
High_Cheekbones,0.8612775206565857,0.843464732170105,0.8487564325332642,0.8461022973060608,0.4492877721786499
Male,0.9924498200416565,0.9910165667533875,0.9912508726119995,0.9911337494850159,0.4257311224937439
Mouth_Slightly_Open,0.8893139362335205,0.897391676902771,0.8697378039360046,0.8833484053611755,0.48185431957244873
Mustache,0.9123169183731079,0.36269044876098633,0.9730807542800903,0.5284244418144226,0.05048573017120361
Narrow_Eyes,0.7556248903274536,0.21495169401168823,0.8498659729957581,0.3431200087070465,0.0750994086265564
No_Beard,0.938994288444519,0.988944947719574,0.936283528804779,0.9618940353393555,0.8223687410354614
Oval_Face,0.6899884343147278,0.46158820390701294,0.6413297653198242,0.5368128418922424,0.28011274337768555
Pale_Skin,0.8485931158065796,0.1991051435470581,0.8317757248878479,0.32129961252212524,0.04308652505278587
Pointy_Nose,0.6877233386039734,0.4697844982147217,0.7471731305122375,0.5768653750419617,0.28489455580711365
Receding_Hairline,0.8632909059524536,0.33470332622528076,0.9118264317512512,0.48966553807258606,0.07192832231521606
Rosy_Cheeks,0.8683747053146362,0.33181697130203247,0.9131075143814087,0.4867517054080963,0.06835455447435379
Sideburns,0.9291790127754211,0.49263623356819153,0.9787856340408325,0.6554004549980164,0.06880757212638855
Smiling,0.9183570742607117,0.9263731837272644,0.9028327465057373,0.9144514799118042,0.48331403732299805
Straight_Hair,0.7756077647209167,0.47378039360046387,0.8249694108963013,0.6018931865692139,0.20561735332012177
Wavy_Hair,0.8055066466331482,0.6014177203178406,0.8800727725028992,0.7145389318466187,0.2765893042087555
Wearing_Earrings,0.8526199460029602,0.5736023187637329,0.8854579329490662,0.6962025761604309,0.19071827828884125
Wearing_Hat,0.9816278219223022,0.7261998653411865,0.9819148778915405,0.834916353225708,0.04731464385986328
Wearing_Lipstick,0.9207731485366821,0.8697726130485535,0.9671557545661926,0.9158828258514404,0.4459656774997711
Wearing_Necklace,0.6694518327713013,0.24693605303764343,0.8493322134017944,0.3826266825199127,0.12060200423002243
Wearing_Necktie,0.8936427235603333,0.40005967020988464,0.9293139576911926,0.5593326091766357,0.07263301312923431
Young,0.8678713440895081,0.9402726888656616,0.8788430690765381,0.9085206389427185,0.7465646266937256
