attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.8816127181053162,0.4992104768753052,0.9437100291252136,0.6529949903488159,0.11803492903709412
Arched_Eyebrows,0.8019328713417053,0.5795620679855347,0.8506038188934326,0.6893993616104126,0.258418470621109
Attractive,0.8077716827392578,0.8073039650917053,0.828010082244873,0.8175259828567505,0.5200583934783936
Bags_Under_Eyes,0.7617154121398926,0.4569582939147949,0.789614200592041,0.5789005756378174,0.2074294090270996
Bald,0.9793627858161926,0.500633716583252,0.9610705375671387,0.6583333015441895,0.02068757265806198
Bangs,0.924799919128418,0.6746129393577576,0.9416809678077698,0.7860825061798096,0.14672572910785675
Big_Lips,0.6464489102363586,0.2773551046848297,0.8143889904022217,0.4137873649597168,0.15321891009807587
Big_Nose,0.7822016477584839,0.5419732928276062,0.8045721054077148,0.6476671099662781,0.24880455434322357
Black_Hair,0.8693310618400574,0.6304787397384644,0.9025096297264099,0.7423580884933472,0.20858711004257202
Blond_Hair,0.9199174642562866,0.6688955426216125,0.9492800831794739,0.784796416759491,0.15382292866706848
Blurry,0.896713137626648,0.30269694328308105,0.9074468016624451,0.45396482944488525,0.04731464385986328
Brown_Hair,0.8013288378715515,0.5586197376251221,0.8410181403160095,0.6713297963142395,0.24125434458255768
Bushy_Eyebrows,0.8691297173500061,0.5248333811759949,0.8622394800186157,0.6524993777275085,0.14249761402606964
Chubby,0.8870992064476013,0.34107089042663574,0.90625,0.49561503529548645,0.06120702624320984
Double_Chin,0.8932400345802307,0.3045702576637268,0.9158974289894104,0.4571281969547272,0.04907635599374771
Eyeglasses,0.9931041598320007,0.923233687877655,0.9826464056968689,0.9520139694213867,0.06961292773485184
Goatee,0.9306387305259705,0.5155122876167297,0.9760928750038147,0.6746931672096252,0.07369004189968109
Gray_Hair,0.9518296718597412,0.5027382373809814,0.949327826499939,0.6573576927185059,0.04867367818951607
Heavy_Makeup,0.9097498655319214,0.8489107489585876,0.9351051449775696,0.8899257183074951,0.3901444673538208
High_Cheekbones,0.8638948798179626,0.842168927192688,0.8578310608863831,0.8499278426170349,0.4492877721786499
Male,0.9929028153419495,0.9920719265937805,0.9912508726119995,0.9916611909866333,0.4257311224937439
Mouth_Slightly_Open,0.9002365469932556,0.9034761190414429,0.8878094553947449,0.8955743312835693,0.48185431957244873
Mustache,0.9173000454902649,0.3763523995876312,0.9710867404937744,0.5424672961235046,0.05048573017120361
Narrow_Eyes,0.7554739117622375,0.21676203608512878,0.8632707595825195,0.3465160131454468,0.0750994086265564
No_Beard,0.9428197741508484,0.9883705973625183,0.9415473341941833,0.9643909931182861,0.8223687410354614
Oval_Face,0.6971359252929688,0.470223993062973,0.6413297653198242,0.5426074266433716,0.28011274337768555
Pale_Skin,0.836361825466156,0.19160443544387817,0.8691588640213013,0.3139902651309967,0.04308652505278587
Pointy_Nose,0.6947199106216431,0.47653260827064514,0.7265017628669739,0.5755475759506226,0.28489455580711365
Receding_Hairline,0.8694820404052734,0.3442184031009674,0.8999300003051758,0.49796706438064575,0.07192832231521606
Rosy_Cheeks,0.8774349689483643,0.3481815755367279,0.9094256162643433,0.5035677552223206,0.06835455447435379
Sideburns,0.932601809501648,0.5053110718727112,0.9743964672088623,0.6655008792877197,0.06880757212638855
Smiling,0.9196657538414001,0.925851047039032,0.9063736796379089,0.9160088300704956,0.48331403732299805
Straight_Hair,0.7785272002220154,0.477477490901947,0.8173806667327881,0.6028164029121399,0.20561735332012177
Wavy_Hair,0.8084763884544373,0.6055722236633301,0.8820745944976807,0.7181273102760315,0.2765893042087555
Wearing_Earrings,0.8529722690582275,0.5739100575447083,0.8894167542457581,0.6976503729820251,0.19071827828884125
Wearing_Hat,0.9807721376419067,0.7162790894508362,0.9829787015914917,0.82869952917099,0.04731464385986328
Wearing_Lipstick,0.9206221103668213,0.8679397702217102,0.969525933265686,0.9159246683120728,0.4459656774997711
Wearing_Necklace,0.6724719405174255,0.25045526027679443,0.8610183596611023,0.3880372643470764,0.12060200423002243
Wearing_Necktie,0.9027532935142517,0.4224548041820526,0.9230769276618958,0.5796344876289368,0.07263301312923431
Young,0.8699350953102112,0.9368045926094055,0.8855177760124207,0.9104394912719727,0.7465646266937256
