attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.8763779401779175,0.4877402186393738,0.9415778517723083,0.6426076889038086,0.11803492903709412
Arched_Eyebrows,0.7992650866508484,0.576830267906189,0.8379431366920471,0.683290958404541,0.258418470621109
Attractive,0.8039965629577637,0.8091031312942505,0.8155245780944824,0.8123011589050293,0.5200583934783936
Bags_Under_Eyes,0.7637287974357605,0.45847225189208984,0.7675321698188782,0.5740472078323364,0.2074294090270996
Bald,0.9793627858161926,0.5006353259086609,0.9586374759674072,0.657762885093689,0.02068757265806198
Bangs,0.9276689887046814,0.6873732209205627,0.9300171732902527,0.7904942035675049,0.14672572910785675
Big_Lips,0.6552574634552002,0.28169822692871094,0.8065046072006226,0.41755250096321106,0.15321891009807587
Big_Nose,0.7866814136505127,0.55045086145401,0.7780699729919434,0.6447611451148987,0.24880455434322357
Black_Hair,0.8652036190032959,0.6223706007003784,0.8996139168739319,0.7357410192489624,0.20858711004257202
Blond_Hair,0.9192631244659424,0.6677449345588684,0.9456806182861328,0.7827735543251038,0.15382292866706848
Blurry,0.8909246325492859,0.2919633686542511,0.9159574508666992,0.4427873492240906,0.04731464385986328
Brown_Hair,0.7951880097389221,0.5494400262832642,0.8393490314483643,0.6641353368759155,0.24125434458255768
Bushy_Eyebrows,0.8675190210342407,0.5212834477424622,0.8608265519142151,0.6493472456932068,0.14249761402606964
Chubby,0.888911247253418,0.344524621963501,0.9029605388641357,0.49875083565711975,0.06120702624320984
Double_Chin,0.8865455389022827,0.29108133912086487,0.9138461351394653,0.44152626395225525,0.04907635599374771
Eyeglasses,0.9928021430969238,0.9200541973114014,0.9819233417510986,0.9499825239181519,0.06961292773485184
Goatee,0.9280716776847839,0.5062122941017151,0.9740437269210815,0.6661994457244873,0.07369004189968109
Gray_Hair,0.9520813226699829,0.5041550993919373,0.9410548210144043,0.6565656065940857,0.04867367818951607
Heavy_Makeup,0.9072834253311157,0.84263014793396,0.9374274015426636,0.8875045776367188,0.3901444673538208
High_Cheekbones,0.8627875447273254,0.8432241082191467,0.8532377481460571,0.848201334476471,0.4492877721786499
Male,0.9927517771720886,0.9920691251754761,0.9908961653709412,0.9914823174476624,0.4257311224937439
Mouth_Slightly_Open,0.8899682760238647,0.8971932530403137,0.8715136051177979,0.8841670751571655,0.48185431957244873
Mustache,0.9155886769294739,0.37166792154312134,0.9730807542800903,0.5378891825675964,0.05048573017120361
Narrow_Eyes,0.748980700969696,0.20957288146018982,0.845174252986908,0.3358636498451233,0.0750994086265564
No_Beard,0.9402023553848267,0.9873890280723572,0.9392826557159424,0.9627352356910706,0.8223687410354614
Oval_Face,0.6874213814735413,0.45864853262901306,0.6427673101425171,0.5353187322616577,0.28011274337768555
Pale_Skin,0.8402879238128662,0.19098426401615143,0.836448609828949,0.3109663426876068,0.04308652505278587
Pointy_Nose,0.6907434463500977,0.4724999964237213,0.7346289753913879,0.5751037001609802,0.28489455580711365
Receding_Hairline,0.8643982410430908,0.3351576626300812,0.8999300003051758,0.48841622471809387,0.07192832231521606
Rosy_Cheeks,0.8736094832420349,0.3403489291667938,0.9050073623657227,0.4946669340133667,0.06835455447435379
Sideburns,0.9293803572654724,0.49329859018325806,0.9692757725715637,0.6538366675376892,0.06880757212638855
Smiling,0.9185584187507629,0.9325964450836182,0.8962715864181519,0.9140732884407043,0.48331403732299805
Straight_Hair,0.7754567861557007,0.4734087586402893,0.8193390369415283,0.6000896692276001,0.20561735332012177
Wavy_Hair,0.8001711368560791,0.5927051901817322,0.887170135974884,0.7106413841247559,0.2765893042087555
Wearing_Earrings,0.8498011827468872,0.5686274766921997,0.8801794648170471,0.6909053325653076,0.19071827828884125
Wearing_Hat,0.9803191423416138,0.7116422653198242,0.9819148778915405,0.8252123594284058,0.04731464385986328
Wearing_Lipstick,0.9196657538414001,0.8677602410316467,0.9672686457633972,0.9148163795471191,0.4459656774997711
Wearing_Necklace,0.6631096601486206,0.24370750784873962,0.8526711463928223,0.3790704011917114,0.12060200423002243
Wearing_Necktie,0.9035586714744568,0.42427152395248413,0.9182259440422058,0.5803766846656799,0.07263301312923431
Young,0.8685760498046875,0.9325405359268188,0.888214647769928,0.9098380208015442,0.7465646266937256
