attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.883928120136261,0.504463255405426,0.9398720860481262,0.6565385460853577,0.11803492903709412
Arched_Eyebrows,0.7947350144386292,0.5667003393173218,0.8737826347351074,0.6875095963478088,0.258418470621109
Attractive,0.8069159984588623,0.8021957278251648,0.8344947695732117,0.8180265426635742,0.5200583934783936
Bags_Under_Eyes,0.7687622904777527,0.4654189348220825,0.7723853588104248,0.5808393955230713,0.2074294090270996
Bald,0.9779030680656433,0.4830508530139923,0.970802903175354,0.6451091766357422,0.02068757265806198
Bangs,0.9296823740005493,0.6931297779083252,0.9344768524169922,0.7959094047546387,0.14672572910785675
Big_Lips,0.6567171812057495,0.28243833780288696,0.8051905632019043,0.41818803548812866,0.15321891009807587
Big_Nose,0.7915135622024536,0.5575678944587708,0.7847461104393005,0.6519327759742737,0.24880455434322357
Black_Hair,0.8689283728599548,0.6297606825828552,0.9017857313156128,0.7416154146194458,0.20858711004257202
Blond_Hair,0.9223335385322571,0.6762992143630981,0.9496073126792908,0.7899823784828186,0.15382292866706848
Blurry,0.8914279937744141,0.293097585439682,0.9170212745666504,0.4442153871059418,0.04731464385986328
Brown_Hair,0.8019328713417053,0.559286892414093,0.8443563580513,0.672873854637146,0.24125434458255768
Bushy_Eyebrows,0.8600191473960876,0.505091667175293,0.8760155439376831,0.640744149684906,0.14249761402606964
Chubby,0.8956561088562012,0.35844069719314575,0.8922697305679321,0.511430561542511,0.06120702624320984
Double_Chin,0.8952534198760986,0.3082524240016937,0.911794900894165,0.4607411026954651,0.04907635599374771
Eyeglasses,0.9936578273773193,0.9307745099067688,0.9819233417510986,0.9556650519371033,0.06961292773485184
Goatee,0.9339104890823364,0.5281192064285278,0.9685792326927185,0.6835381984710693,0.07369004189968109
Gray_Hair,0.9481552243232727,0.4834645688533783,0.9524301886558533,0.6413648724555969,0.04867367818951607
Heavy_Makeup,0.9083908200263977,0.8427927494049072,0.9406528472900391,0.8890379071235657,0.3901444673538208
High_Cheekbones,0.8629888892173767,0.8309859037399292,0.8725072741508484,0.8512406349182129,0.4492877721786499
Male,0.9930034875869751,0.9928901791572571,0.9906597137451172,0.9917737245559692,0.4257311224937439
Mouth_Slightly_Open,0.8991795182228088,0.9006139039993286,0.8888540863990784,0.8946953415870667,0.48185431957244873
Mustache,0.9140785932540894,0.36726999282836914,0.9710867404937744,0.5329685211181641,0.05048573017120361
Narrow_Eyes,0.7556752562522888,0.21623903512954712,0.8585790991783142,0.34546926617622375,0.0750994086265564
No_Beard,0.945537805557251,0.9871008992195129,0.9461378455162048,0.9661853909492493,0.8223687410354614
Oval_Face,0.6877737045288086,0.46031349897384644,0.6648697257041931,0.5439976453781128,0.28011274337768555
Pale_Skin,0.8605728149414062,0.21381579339504242,0.8352803587913513,0.34047621488571167,0.04308652505278587
Pointy_Nose,0.6894347667694092,0.4711146354675293,0.7348056435585022,0.5741303563117981,0.28489455580711365
Receding_Hairline,0.8694820404052734,0.34537726640701294,0.9097270965576172,0.5006740093231201,0.07192832231521606
Rosy_Cheeks,0.871143102645874,0.33747971057891846,0.9189985394477844,0.49367085099220276,0.06835455447435379
Sideburns,0.9361755847930908,0.5195729732513428,0.9612289667129517,0.6745380163192749,0.06880757212638855
Smiling,0.9192631244659424,0.9219244718551636,0.9100187420845032,0.9159328937530518,0.48331403732299805
Straight_Hair,0.7721347212791443,0.4694751501083374,0.8320685625076294,0.6002649068832397,0.20561735332012177
Wavy_Hair,0.8115971088409424,0.6111392974853516,0.8766151070594788,0.7201914191246033,0.2765893042087555
Wearing_Earrings,0.8624352216720581,0.5951694250106812,0.871470034122467,0.7072935700416565,0.19071827828884125
Wearing_Hat,0.980520486831665,0.7135134935379028,0.9829787015914917,0.826845645904541,0.04731464385986328
Wearing_Lipstick,0.9203704595565796,0.8680962920188904,0.9686230421066284,0.9156086444854736,0.4459656774997711
Wearing_Necklace,0.6664820909500122,0.24869295954704285,0.8735392093658447,0.38716238737106323,0.12060200423002243
Wearing_Necktie,0.9051190614700317,0.4285714328289032,0.9189189076423645,0.5845272541046143,0.07263301312923431
Young,0.8639452457427979,0.9434735178947449,0.869875967502594,0.9051812291145325,0.7465646266937256
