attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.8842301368713379,0.5051688551902771,0.9377398490905762,0.6566138863563538,0.11803492903709412
Arched_Eyebrows,0.8025872111320496,0.5778319835662842,0.8763147592544556,0.6964395642280579,0.258418470621109
Attractive,0.8097347617149353,0.804291307926178,0.8380758762359619,0.8208361268043518,0.5200583934783936
Bags_Under_Eyes,0.7800875902175903,0.48121780157089233,0.7709293961524963,0.5925580263137817,0.2074294090270996
Bald,0.9802687764167786,0.5123537182807922,0.9586374759674072,0.6677966117858887,0.02068757265806198
Bangs,0.9284743666648865,0.6865634322166443,0.9430531859397888,0.7946234941482544,0.14672572910785675
Big_Lips,0.6698545217514038,0.2889902889728546,0.7907359004020691,0.4232832193374634,0.15321891009807587
Big_Nose,0.7929732799530029,0.5602847337722778,0.7802953720092773,0.6522364020347595,0.24880455434322357
Black_Hair,0.8749685287475586,0.6431034207344055,0.9000965356826782,0.7502011060714722,0.20858711004257202
Blond_Hair,0.9207731485366821,0.6715278029441833,0.9492800831794739,0.7866052389144897,0.15382292866706848
Blurry,0.895152747631073,0.30024465918540955,0.9138298034667969,0.45198631286621094,0.04731464385986328
Brown_Hair,0.8029395341873169,0.5604183673858643,0.8495723009109497,0.6753461956977844,0.24125434458255768
Bushy_Eyebrows,0.8609251379966736,0.5069814920425415,0.8721299767494202,0.6412153840065002,0.14249761402606964
Chubby,0.9024009704589844,0.3743482828140259,0.8856908082962036,0.5262643694877625,0.06120702624320984
Double_Chin,0.9002365469932556,0.3184276819229126,0.9056410193443298,0.4711846113204956,0.04907635599374771
Eyeglasses,0.9934564828872681,0.9276450276374817,0.9826464056968689,0.954353928565979,0.06961292773485184
Goatee,0.9379876255989075,0.5444104075431824,0.9713114500045776,0.6977429389953613,0.07369004189968109
Gray_Hair,0.9529873728752136,0.5092127323150635,0.9431230425834656,0.6613487601280212,0.04867367818951607
Heavy_Makeup,0.9107062220573425,0.8460915088653564,0.9425880312919617,0.8917368650436401,0.3901444673538208
High_Cheekbones,0.8638948798179626,0.8308166861534119,0.875308096408844,0.8524823188781738,0.4492877721786499
Male,0.9934061765670776,0.9932472705841064,0.9912508726119995,0.9922480583190918,0.4257311224937439
Mouth_Slightly_Open,0.9054713845252991,0.9091778993606567,0.8930324912071228,0.9010329246520996,0.48185431957244873
Mustache,0.9155383110046387,0.3716242015361786,0.9740777611732483,0.5379956364631653,0.05048573017120361
Narrow_Eyes,0.7364473938941956,0.20584538578987122,0.8780161142349243,0.3335030972957611,0.0750994086265564
No_Beard,0.9436754584312439,0.9875072240829468,0.9434447288513184,0.9649732708930969,0.8223687410354614
Oval_Face,0.6891830563545227,0.4618845283985138,0.6641509532928467,0.5448514819145203,0.28011274337768555
Pale_Skin,0.8814113736152649,0.24084311723709106,0.8142523169517517,0.37173330783843994,0.04308652505278587
Pointy_Nose,0.6887803673744202,0.471018522977829,0.7508834004402161,0.5789008140563965,0.28489455580711365
Receding_Hairline,0.8794483542442322,0.3632502853870392,0.8978306651115417,0.5172344446182251,0.07192832231521606
Rosy_Cheeks,0.8753712177276611,0.34489455819129944,0.915316641330719,0.501007616519928,0.06835455447435379
Sideburns,0.9411083459854126,0.5407193303108215,0.9568397998809814,0.690966784954071,0.06880757212638855
Smiling,0.9203704595565796,0.919368326663971,0.9155384302139282,0.9174493551254272,0.48331403732299805
Straight_Hair,0.7771178483963013,0.47594332695007324,0.8305997848510742,0.6051364541053772,0.20561735332012177
Wavy_Hair,0.8127548098564148,0.6121288537979126,0.8817106485366821,0.7225950956344604,0.2765893042087555
Wearing_Earrings,0.8648009300231934,0.5996386408805847,0.8759567141532898,0.7119261622428894,0.19071827828884125
Wearing_Hat,0.9803694486618042,0.7105666399002075,0.9872340559959412,0.8263580203056335,0.04731464385986328
Wearing_Lipstick,0.9224845170974731,0.8718756437301636,0.9685101509094238,0.917655885219574,0.4459656774997711
Wearing_Necklace,0.6752403378486633,0.25358444452285767,0.8710350394248962,0.39281007647514343,0.12060200423002243
Wearing_Necktie,0.9192127585411072,0.47098854184150696,0.9112958908081055,0.6210153698921204,0.07263301312923431
Young,0.869431734085083,0.9385122656822205,0.88295578956604,0.9098867177963257,0.7465646266937256
