attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.8780389428138733,0.4913831055164337,0.9484008550643921,0.6473584771156311,0.11803492903709412
Arched_Eyebrows,0.798761785030365,0.5739775896072388,0.8583950400352478,0.6879488229751587,0.258418470621109
Attractive,0.8053556084632874,0.7920318245887756,0.8485288619995117,0.8193075656890869,0.5200583934783936
Bags_Under_Eyes,0.7722353935241699,0.46979665756225586,0.7624363303184509,0.5813673734664917,0.2074294090270996
Bald,0.97971510887146,0.5051150918006897,0.9610705375671387,0.662196159362793,0.02068757265806198
Bangs,0.9284240007400513,0.689804196357727,0.9307032823562622,0.7923481464385986,0.14672572910785675
Big_Lips,0.6585795283317566,0.28264155983924866,0.7986202239990234,0.4175182580947876,0.15321891009807587
Big_Nose,0.7918155789375305,0.5581328272819519,0.7837345600128174,0.6519690155982971,0.24880455434322357
Black_Hair,0.8704887628555298,0.6349888443946838,0.8916505575180054,0.7417443990707397,0.20858711004257202
Blond_Hair,0.918256402015686,0.6628012657165527,0.9538612365722656,0.7821304202079773,0.15382292866706848
Blurry,0.8937433958053589,0.29789435863494873,0.9180850982666016,0.449830561876297,0.04731464385986328
Brown_Hair,0.8020838499069214,0.5599665641784668,0.8387231230735779,0.6715669631958008,0.24125434458255768
Bushy_Eyebrows,0.8607741594314575,0.5066858530044556,0.8700106143951416,0.6404055953025818,0.14249761402606964
Chubby,0.8960084319114685,0.3602892756462097,0.9013158082962036,0.51479572057724,0.06120702624320984
Double_Chin,0.896713137626648,0.31125131249427795,0.9107692241668701,0.4639498293399811,0.04907635599374771
Eyeglasses,0.993305504322052,0.9269125461578369,0.9812002778053284,0.9532841444015503,0.06961292773485184
Goatee,0.9325514435768127,0.5228108763694763,0.9706284403800964,0.6795791387557983,0.07369004189968109
Gray_Hair,0.9516786336898804,0.5019199252128601,0.9462254643440247,0.6559140086174011,0.04867367818951607
Heavy_Makeup,0.9073840975761414,0.8388946056365967,0.9438782334327698,0.8882953524589539,0.3901444673538208
High_Cheekbones,0.8628882169723511,0.8301043510437012,0.8736276030540466,0.8513100147247314,0.4492877721786499
Male,0.9930034875869751,0.9927733540534973,0.9907779693603516,0.9917746782302856,0.4257311224937439
Mouth_Slightly_Open,0.8980721831321716,0.9013186097145081,0.8854068517684937,0.8932918310165405,0.48185431957244873
Mustache,0.9098504781723022,0.35662299394607544,0.9770687818527222,0.5225273370742798,0.05048573017120361
Narrow_Eyes,0.7400714755058289,0.20755016803741455,0.8733243942260742,0.3353925049304962,0.0750994086265564
No_Beard,0.9414607286453247,0.9886019825935364,0.9396498799324036,0.9635046124458313,0.8223687410354614
Oval_Face,0.6834449172019958,0.45584288239479065,0.6715184450149536,0.543050229549408,0.28011274337768555
Pale_Skin,0.8662102818489075,0.21931463479995728,0.822429895401001,0.3462862968444824,0.04308652505278587
Pointy_Nose,0.6907937526702881,0.47229552268981934,0.7273851633071899,0.5727203488349915,0.28489455580711365
Receding_Hairline,0.8734081387519836,0.3510696589946747,0.8957312703132629,0.5044335126876831,0.07192832231521606
Rosy_Cheeks,0.8697337508201599,0.33538544178009033,0.9226804375648499,0.4919512867927551,0.06835455447435379
Sideburns,0.9346655011177063,0.5134189128875732,0.9656181335449219,0.6703910827636719,0.06880757212638855
Smiling,0.91810542345047,0.9141136407852173,0.9166840314865112,0.915397047996521,0.48331403732299805
Straight_Hair,0.7732924222946167,0.4707769453525543,0.8261933922767639,0.5997866988182068,0.20561735332012177
Wavy_Hair,0.8085266947746277,0.6061785817146301,0.878434956073761,0.7173428535461426,0.2765893042087555
Wearing_Earrings,0.861629843711853,0.5933908224105835,0.8719978928565979,0.7062092423439026,0.19071827828884125
Wearing_Hat,0.9802687764167786,0.7104454636573792,0.9840425252914429,0.825156033039093,0.04731464385986328
Wearing_Lipstick,0.919967770576477,0.8672459125518799,0.9688487648963928,0.9152361750602722,0.4459656774997711
Wearing_Necklace,0.6625056862831116,0.24584168195724487,0.8697829842567444,0.38333484530448914,0.12060200423002243
Wearing_Necktie,0.9089947938919067,0.4390650987625122,0.9112958908081055,0.5926092863082886,0.07263301312923431
Young,0.8684753775596619,0.9372360706329346,0.88295578956604,0.9092865586280823,0.7465646266937256
