attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.8668646216392517,0.4683143198490143,0.9454157948493958,0.6263596415519714,0.11803492903709412
Arched_Eyebrows,0.7923692464828491,0.5655961632728577,0.8472925424575806,0.6783625483512878,0.258418470621109
Attractive,0.8036945462226868,0.8099460005760193,0.8133952617645264,0.8116669654846191,0.5200583934783936
Bags_Under_Eyes,0.7558262348175049,0.4488222002983093,0.7767531871795654,0.5689149498939514,0.2074294090270996
Bald,0.9752856492996216,0.45423340797424316,0.9659367203712463,0.6178988814353943,0.02068757265806198
Bangs,0.9252026081085205,0.6803837418556213,0.9245283007621765,0.7838860154151917,0.14672572910785675
Big_Lips,0.6548547744750977,0.2812894284725189,0.8055190443992615,0.416971355676651,0.15321891009807587
Big_Nose,0.7798358798027039,0.5392576456069946,0.7906129956245422,0.6411812901496887,0.24880455434322357
Black_Hair,0.8646499514579773,0.6225366592407227,0.8918918967247009,0.7332605719566345,0.20858711004257202
Blond_Hair,0.9205214381217957,0.6720242500305176,0.9440445303916931,0.7851408123970032,0.15382292866706848
Blurry,0.8887602686882019,0.2864828407764435,0.9063829779624939,0.43536022305488586,0.04731464385986328
Brown_Hair,0.7941309809684753,0.5480914115905762,0.8358021974563599,0.6620393395423889,0.24125434458255768
Bushy_Eyebrows,0.8627875447273254,0.5109124779701233,0.8682444095611572,0.6432871222496033,0.14249761402606964
Chubby,0.8802536725997925,0.32739683985710144,0.9070723652839661,0.4811341464519501,0.06120702624320984
Double_Chin,0.8764785528182983,0.27529627084732056,0.9292307496070862,0.4247538447380066,0.04907635599374771
Eyeglasses,0.9931544661521912,0.9244384169578552,0.9819233417510986,0.9523141384124756,0.06961292773485184
Goatee,0.9270146489143372,0.5024682879447937,0.9733606576919556,0.6627907752990723,0.07369004189968109
Gray_Hair,0.9445814490318298,0.46605876088142395,0.9513960480690002,0.6256375312805176,0.04867367818951607
Heavy_Makeup,0.9062767624855042,0.838020920753479,0.9418139457702637,0.8868910074234009,0.3901444673538208
High_Cheekbones,0.8601701259613037,0.8323243260383606,0.8625364303588867,0.8471611142158508,0.4492877721786499
Male,0.993305504322052,0.9925452470779419,0.9917238354682922,0.9921343326568604,0.4257311224937439
Mouth_Slightly_Open,0.8827201128005981,0.8883646130561829,0.8653504848480225,0.8767065405845642,0.48185431957244873
Mustache,0.9121155738830566,0.36174172163009644,0.9690927267074585,0.5268293023109436,0.05048573017120361
Narrow_Eyes,0.7517491579055786,0.2106325775384903,0.8391420841217041,0.3367401957511902,0.0750994086265564
No_Beard,0.9393969774246216,0.9878158569335938,0.9378749132156372,0.9621977806091309,0.8223687410354614
Oval_Face,0.7021191120147705,0.47559794783592224,0.6181491613388062,0.5375839471817017,0.28011274337768555
Pale_Skin,0.8450194001197815,0.19439098238945007,0.8259345889091492,0.3147117793560028,0.04308652505278587
Pointy_Nose,0.6822368502616882,0.4645993709564209,0.7570671439170837,0.5758247375488281,0.28489455580711365
Receding_Hairline,0.8534252643585205,0.31892552971839905,0.91392582654953,0.47284576296806335,0.07192832231521606
Rosy_Cheeks,0.8583580851554871,0.3155093789100647,0.9167894124984741,0.4694569706916809,0.06835455447435379
Sideburns,0.9259576201438904,0.481254518032074,0.9765910506248474,0.6447718143463135,0.06880757212638855
Smiling,0.9192631244659424,0.9230850338935852,0.908664882183075,0.9158182144165039,0.48331403732299805
Straight_Hair,0.77691650390625,0.47533759474754333,0.8186046481132507,0.6014388799667358,0.20561735332012177
Wavy_Hair,0.8056576251983643,0.6027414202690125,0.8722475171089172,0.7128728032112122,0.2765893042087555
Wearing_Earrings,0.8502038717269897,0.5693330764770508,0.8809712529182434,0.6916701197624207,0.19071827828884125
Wearing_Hat,0.9806211590766907,0.7152831554412842,0.9808510541915894,0.8272768259048462,0.04731464385986328
Wearing_Lipstick,0.9175013899803162,0.8631928563117981,0.9685101509094238,0.9128238558769226,0.4459656774997711
Wearing_Necklace,0.6564151644706726,0.24117784202098846,0.8614357113838196,0.37684860825538635,0.12060200423002243
Wearing_Necktie,0.8976191878318787,0.4095500409603119,0.927234947681427,0.568152904510498,0.07263301312923431
Young,0.8591634631156921,0.9439935088157654,0.8625269532203674,0.9014233350753784,0.7465646266937256
