attribute,accuracy,precision,recall,f1,positive_rate
5_o_Clock_Shadow,0.8771329522132874,0.4893992841243744,0.9449893236160278,0.6448420882225037,0.11803492903709412
Arched_Eyebrows,0.7954396605491638,0.5689077973365784,0.860342800617218,0.684912383556366,0.258418470621109
Attractive,0.8055569529533386,0.79600989818573,0.8418505787849426,0.8182886838912964,0.5200583934783936
Bags_Under_Eyes,0.7741984128952026,0.47215867042541504,0.7510312795639038,0.5798051953315735,0.2074294090270996
Bald,0.9778527021408081,0.4822521507740021,0.9586374759674072,0.6416938304901123,0.02068757265806198
Bangs,0.9285246729850769,0.6914212703704834,0.9262435436248779,0.7917888760566711,0.14672572910785675
Big_Lips,0.6715155839920044,0.2896326780319214,0.7874507308006287,0.423498272895813,0.15321891009807587
Big_Nose,0.7901042103767395,0.5557800531387329,0.7790815234184265,0.6487534046173096,0.24880455434322357
Black_Hair,0.8668646216392517,0.6259875893592834,0.8986486196517944,0.7379371523857117,0.20858711004257202
Blond_Hair,0.9197161197662354,0.6688236594200134,0.9469895362854004,0.783963143825531,0.15382292866706848
Blurry,0.8923843502998352,0.2940165102481842,0.9095744490623474,0.44438672065734863,0.04731464385986328
Brown_Hair,0.7956913709640503,0.5502739548683167,0.8380972146987915,0.664351224899292,0.24125434458255768
Bushy_Eyebrows,0.8665122985839844,0.5188778638839722,0.8689509034156799,0.6497622728347778,0.14249761402606964
Chubby,0.8914279937744141,0.349824458360672,0.9013158082962036,0.5040239095687866,0.06120702624320984
Double_Chin,0.8888609409332275,0.295114666223526,0.9107692241668701,0.44578316807746887,0.04907635599374771
Eyeglasses,0.9931041598320007,0.9226594567298889,0.9833694696426392,0.95204758644104,0.06961292773485184
Goatee,0.9345145225524902,0.5304901003837585,0.9685792326927185,0.6855209469795227,0.07369004189968109
Gray_Hair,0.9468465447425842,0.47676241397857666,0.9441571831703186,0.6335877776145935,0.04867367818951607
Heavy_Makeup,0.9085417985916138,0.8437210321426392,0.9396206736564636,0.8890923857688904,0.3901444673538208
High_Cheekbones,0.8607741594314575,0.8295527696609497,0.8685861825942993,0.8486208915710449,0.4492877721786499
Male,0.9932551383972168,0.9931279420852661,0.9910144209861755,0.9920700788497925,0.4257311224937439
Mouth_Slightly_Open,0.8972668051719666,0.9017494916915894,0.8830043077468872,0.8922784328460693,0.48185431957244873
Mustache,0.9144309759140015,0.3686392903327942,0.9750747680664062,0.5350109934806824,0.05048573017120361
Narrow_Eyes,0.7507928013801575,0.21427391469478607,0.8693029284477234,0.34380385279655457,0.0750994086265564
No_Beard,0.9445311427116394,0.9873960614204407,0.944607675075531,0.9655280113220215,0.8223687410354614
Oval_Face,0.6773543953895569,0.4496724307537079,0.6783468127250671,0.5408309698104858,0.28011274337768555
Pale_Skin,0.843056321144104,0.1958041936159134,0.8504672646522522,0.3183209300041199,0.04308652505278587
Pointy_Nose,0.6947199106216431,0.4767000377178192,0.7319787740707397,0.5773813724517822,0.28489455580711365
Receding_Hairline,0.863643229007721,0.33462533354759216,0.9062281250953674,0.4887714982032776,0.07192832231521606
Rosy_Cheeks,0.8718981146812439,0.3384154736995697,0.915316641330719,0.49413639307022095,0.06835455447435379
Sideburns,0.9345145225524902,0.5127807855606079,0.9685442447662354,0.6705495119094849,0.06880757212638855
Smiling,0.9211758375167847,0.9246459603309631,0.9111643433570862,0.9178556799888611,0.48331403732299805
Straight_Hair,0.7715809941291809,0.4689342975616455,0.83696448802948,0.6010900139808655,0.20561735332012177
Wavy_Hair,0.8066139817237854,0.6027857065200806,0.8820745944976807,0.7161642909049988,0.2765893042087555
Wearing_Earrings,0.8638445734977722,0.5987249612808228,0.8675112128257751,0.7084815502166748,0.19071827828884125
Wearing_Hat,0.9808224439620972,0.7161639332771301,0.9851064085960388,0.8293775320053101,0.04731464385986328
Wearing_Lipstick,0.9202194809913635,0.8676099181175232,0.9689615964889526,0.9154892563819885,0.4459656774997711
Wearing_Necklace,0.6753913760185242,0.25107482075691223,0.8530884981155396,0.38796624541282654,0.12060200423002243
Wearing_Necktie,0.9012935757637024,0.41839948296546936,0.9203048944473267,0.5752653479576111,0.07263301312923431
Young,0.863643229007721,0.9439033269882202,0.8689994812011719,0.9049040079116821,0.7465646266937256
