query_id,query,best_blend_method,best_blend_R@10
0,+Smiling,Blend model_plus_tuned_delta_025,0.3125783535311324
1,+Eyeglasses,Blend model_plus_tuned_delta_050,0.5
2,-Heavy_Makeup,Blend model_plus_tuned_delta_100,0.2395400048935649
3,+Male,Blend model_plus_tuned_delta_100,0.3153605015673981
4,-Young,Blend model_plus_generic_delta_100,0.1480859010270775
5,+Blond_Hair,Blend model_plus_tuned_delta_100,0.2572682391662095
6,+Mustache,Blend model_plus_tuned_delta_100,0.4318936877076412
7,-Young,Blend model_plus_generic_delta_100,0.1480859010270775
8,"+Eyeglasses, +Smiling",Blend model_plus_tuned_delta_050,0.5179738562091504
9,"+Black_Hair, -Wavy_Hair",Blend model_plus_tuned_delta_050,0.2729393468118196
10,"-Male, -Mustache",Blend model_plus_generic_delta_100,0.1481481481481481
11,"+Chubby, -Young",Blend model_plus_tuned_delta_100,0.0650684931506849
12,"-Smiling, +Eyeglasses, +Wearing_Hat",Blend model_plus_tuned_delta_100,0.7215189873417721
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Blend score_fusion_tuned_25sum,0.1176470588235294
