method,query_entries,source_query_cases,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10,checkpoint
Direct sum,14,33052,0.0239667092673861,0.0718274033877898,0.1084242092702599,0.0239667092673861,0.0175681307479561,0.0147120343871258,0.0257170519181895,0.0814776715478639,0.1247730848360159,0.0257170519181895,0.0202650369115333,0.0176812295776351,
Direct sequential,14,33052,0.0280702691117029,0.0732718277811792,0.1120602207326044,0.0280702691117029,0.0179070045179915,0.0152957059322563,0.0260196054701682,0.0827483964661745,0.1263463633063052,0.0260196054701682,0.0205736415345516,0.0178627617088223,
Contrastive sum,14,33052,0.0391165430965526,0.1203871699842344,0.170739441538459,0.0391165430965526,0.0296669903291397,0.0247404346071612,0.0345213602807696,0.1090100447779257,0.1664952196538787,0.0345213602807696,0.0276594457218927,0.024216386300375,
Contrastive sequential,14,33052,0.0406358914439327,0.1238095818088822,0.1870757790910062,0.0406358914439327,0.031000692051886,0.0269761089669727,0.0344608495703739,0.1094941304610916,0.1665254750090766,0.0344608495703739,0.0277925692847633,0.0241831054096573,
Adaptive tangent sequential,14,33052,0.0406052286267497,0.1235346889432326,0.1869269211269,0.0406052286267497,0.0309292179878408,0.0268738588800076,0.034430594215176,0.1092520876195086,0.1667675178506595,0.034430594215176,0.0277441607164467,0.024201258622776,
Gate v3 hybrid best,14,33052,0.0479720360170376,0.1468166003829958,0.2130479372919742,0.0479720360170376,0.0384122930317563,0.0325362927302571,0.0416918794626648,0.1298257291540602,0.1952680624470531,0.0416918794626648,0.033789180684981,0.0296805034491102,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend generic_sum_only,14,33052,0.0364694493460533,0.1066454455832483,0.1544682602435093,0.0364694493460533,0.0264927583214232,0.0221639366552965,0.0338557424664165,0.1073762555972407,0.1636814716204768,0.0338557424664165,0.0272237686070434,0.0237383516882486,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend generic_tangent_seq,14,33052,0.0265497387108586,0.0883032146188798,0.1401452592642596,0.0265497387108586,0.02154794995299,0.0192316986144024,0.0319799104441486,0.1020513130824155,0.1577816773568921,0.0319799104441486,0.0252995280164589,0.0222588648190728,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend model_only,14,33052,0.0479869604991581,0.1468626185930071,0.2130731563626826,0.0479869604991581,0.0384280020081328,0.0325468716572056,0.0417221348178627,0.1299164952196538,0.195298317802251,0.0417221348178627,0.0338133849691393,0.0296986566622289,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend model_plus_generic_delta_025,14,33052,0.0560975973685815,0.1736106396757719,0.2429581207550228,0.0560975973685815,0.0458557223167436,0.0388671116398329,0.0468958005566985,0.14616362096091,0.2168401307031344,0.0468958005566985,0.0379462664891683,0.033105409657509,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend model_plus_generic_delta_050,14,33052,0.0667615000542192,0.1919319298281982,0.2719644023705915,0.0667615000542192,0.052757507964252,0.044966820009203,0.0522207430715236,0.1596272540239622,0.2344487474282948,0.0522207430715236,0.0419399733752872,0.03635786034128,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend model_plus_generic_delta_100,14,33052,0.0618911585461878,0.2027222515673421,0.2827497276407539,0.0618911585461878,0.0542220789895744,0.0461574681443945,0.0495885271693089,0.1583262737504538,0.238593731090403,0.0495885271693089,0.0410141595062325,0.036130945177296,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
